,Player,Team,Pitch,球種,投球数,投球%,xPV,xPV/100,Grade,球速(km/h),SwStr%,Whiff%,O-Swing%,wOBAcon,xwOBAcon,GB%,FL%,IFFB%
230,オスナ,ソ,右投,カットボール,81,22,-0.7,-,-,147,7.4,12.0,33.3,.371,.327,59,41,0
231,オスナ,ソ,右投,チェンジアップ,64,17,0.2,-,-,137,26.6,48.6,23.5,.201,.302,38,46,15
232,オスナ,ソ,右投,ツーシーム,30,8,0.2,-,-,151,3.3,5.0,44.4,.335,.291,46,38,15
233,グリフィン,巨,左投,ストレート,149,37,1.6,1.1,63,147,10.7,21.1,29.2,.395,.315,60,33,7
234,グリフィン,巨,左投,カットボール,138,34,-0.9,-0.7,54,136,11.6,20.3,32.0,.359,.359,33,61,6
235,グリフィン,巨,左投,ナックルカーブ,47,12,-0.6,-,-,124,8.5,28.6,23.3,.218,.399,25,75,0
236,グリフィン,巨,左投,チェンジアップ,1,0,0.0,-,-,134,0.0,-,0.0,-,-,-,-,-
237,グリフィン,巨,左投,スプリット,60,15,0.0,-,-,131,25.0,46.9,35.0,.545,.313,62,38,0
238,グリフィン,巨,左投,ツーシーム,11,3,0.3,-,-,145,0.0,0.0,33.3,.218,.213,100,0,0
239,大竹 耕太郎,神,左投,ストレート,385,42,1.1,0.3,55,138,4.2,11.0,17.6,.392,.312,46,41,13
240,大竹 耕太郎,神,左投,スライダー,68,7,-0.7,-,-,115,0.0,0.0,11.5,.438,.384,36,64,0
241,大竹 耕太郎,神,左投,カットボール,158,17,0.7,0.4,63,130,12.7,20.6,37.7,.350,.325,43,49,9
242,大竹 耕太郎,神,左投,カーブ,28,3,0.0,-,-,106,3.6,33.3,5.6,.000,.199,100,0,0
243,大竹 耕太郎,神,左投,フォーク,8,1,-0.2,-,-,130,0.0,0.0,33.3,.000,.209,100,0,0
244,大竹 耕太郎,神,左投,チェンジアップ,115,12,0.3,0.2,55,114,10.4,25.0,24.0,.363,.331,29,57,14
245,大竹 耕太郎,神,左投,ツーシーム,143,15,0.1,0.1,52,132,1.4,2.7,20.0,.253,.298,51,38,11
246,大竹 耕太郎,神,左投,スローボール,20,2,-0.6,-,-,94,0.0,0.0,36.4,.124,.363,43,57,0
247,桐敷 拓馬,神,左投,ストレート,189,46,1.9,1.0,48,147,6.9,17.3,24.1,.379,.284,60,27,13
248,桐敷 拓馬,神,左投,スライダー,104,26,0.3,0.3,45,129,10.6,25.0,25.5,.273,.342,38,54,8
249,桐敷 拓馬,神,左投,フォーク,59,14,0.5,-,-,140,20.3,35.3,50.0,.174,.290,70,30,0
250,桐敷 拓馬,神,左投,ツーシーム,55,14,1.2,-,-,147,7.3,11.4,45.8,.096,.229,57,21,21
251,石井 大智,神,右投,ストレート,93,47,1.2,-,-,151,14.0,23.2,37.1,.402,.317,33,50,17
252,石井 大智,神,右投,スライダー,40,20,0.3,-,-,135,15.0,46.2,33.3,.000,.349,50,50,0
253,石井 大智,神,右投,ナックルカーブ,13,7,0.2,-,-,125,23.1,60.0,40.0,.870,.466,0,100,0
254,石井 大智,神,右投,フォーク,18,9,1.7,-,-,136,55.6,71.4,69.2,.000,.209,100,0,0
255,石井 大智,神,右投,シンカー,32,16,-0.3,-,-,136,21.9,41.2,34.8,.348,.288,60,40,0
256,バルドナード,巨,左投,ストレート,269,55,0.6,0.2,41,150,10.4,21.4,17.4,.353,.375,36,61,3
257,バルドナード,巨,左投,スライダー,90,18,0.4,-,-,134,16.7,42.9,34.3,.158,.277,27,45,27
258,バルドナード,巨,左投,チェンジアップ,115,23,-0.8,-0.7,46,136,19.1,39.3,30.3,.201,.374,38,62,0
259,バルドナード,巨,左投,ツーシーム,17,3,0.1,-,-,149,11.8,22.2,37.5,.870,.213,100,0,0
260,門別 啓人,神,左投,ストレート,74,63,0.1,-,-,144,10.8,23.5,21.2,.459,.302,33,47,20
261,門別 啓人,神,左投,スライダー,24,20,-0.2,-,-,123,16.7,33.3,30.8,.230,.349,50,50,0
262,門別 啓人,神,左投,カーブ,1,1,-0.2,-,-,114,0.0,0.0,-,.870,.466,0,100,0
263,門別 啓人,神,左投,フォーク,3,3,-0.2,-,-,132,0.0,0.0,50.0,.435,.344,50,50,0
264,門別 啓人,神,左投,ツーシーム,16,14,-0.3,-,-,136,6.3,16.7,12.5,.447,.405,33,67,0
265,堀田 賢慎,巨,右投,ストレート,270,47,-2.0,-0.7,42,144,5.9,13.3,28.9,.366,.328,43,47,10
266,堀田 賢慎,巨,右投,スライダー,43,7,-0.7,-,-,128,7.0,14.3,40.0,.438,.398,31,69,0
267,堀田 賢慎,巨,右投,カットボール,53,9,-0.8,-,-,131,5.7,20.0,20.0,.193,.284,56,33,11
268,堀田 賢慎,巨,右投,カーブ,40,7,0.1,-,-,117,5.0,22.2,13.6,.335,.283,25,50,25
269,堀田 賢慎,巨,右投,チェンジアップ,141,25,0.0,0.0,52,135,14.2,25.3,34.9,.145,.319,56,42,3
270,堀田 賢慎,巨,右投,スプリット,28,5,0.1,-,-,134,10.7,23.1,28.6,.249,.179,86,0,14
271,吉村 貢司郎,ヤ,右投,ストレート,419,46,2.4,0.6,61,149,7.4,15.4,26.2,.420,.342,45,49,7
272,吉村 貢司郎,ヤ,右投,スライダー,112,12,-0.4,-0.4,53,130,3.6,11.4,16.0,.343,.328,33,53,13
273,吉村 貢司郎,ヤ,右投,カットボール,57,6,0.6,-,-,139,10.5,21.4,17.4,.359,.296,55,36,9
274,吉村 貢司郎,ヤ,右投,カーブ,78,9,-0.1,-,-,118,3.8,13.0,24.4,.296,.295,44,44,11
275,吉村 貢司郎,ヤ,右投,フォーク,226,25,3.0,1.3,70,138,20.4,35.4,43.8,.380,.295,68,32,0
276,吉村 貢司郎,ヤ,右投,ツーシーム,16,2,-0.3,-,-,144,0.0,0.0,0.0,.218,.357,50,50,0
277,涌井 秀章,中,右投,ストレート,366,41,-1.8,-0.5,48,144,4.1,8.8,20.9,.328,.351,30,59,11
278,涌井 秀章,中,右投,スライダー,224,25,-0.3,-0.1,55,132,10.3,20.9,28.4,.352,.311,46,44,10
279,涌井 秀章,中,右投,カットボール,2,0,0.0,-,-,139,0.0,0.0,50.0,-,-,-,-,-
280,涌井 秀章,中,右投,カーブ,62,7,-0.5,-,-,115,6.5,33.3,8.1,.000,.359,40,60,0
281,涌井 秀章,中,右投,フォーク,54,6,0.0,-,-,134,13.0,24.1,37.1,.249,.267,79,21,0
282,涌井 秀章,中,右投,チェンジアップ,50,6,-0.4,-,-,130,10.0,27.8,17.9,.124,.331,29,57,14
283,涌井 秀章,中,右投,シンカー,139,15,-0.3,-0.2,46,138,5.8,10.4,40.0,.350,.295,49,47,5
284,齋藤 綱記,中,左投,ストレート,110,36,0.0,0.0,38,140,4.5,13.2,12.5,.321,.339,37,53,11
285,齋藤 綱記,中,左投,スライダー,136,44,1.8,1.3,54,123,19.1,41.3,43.4,.298,.305,54,39,7
286,齋藤 綱記,中,左投,フォーク,14,5,0.1,-,-,128,7.1,11.1,50.0,.218,.224,50,25,25
287,齋藤 綱記,中,左投,シュート,49,16,-0.2,-,-,138,6.1,23.1,10.3,.553,.357,50,50,0
288,山本 大貴,ヤ,左投,ストレート,99,29,-1.0,-,-,145,1.0,3.8,12.5,.311,.324,71,29,0
289,山本 大貴,ヤ,左投,スライダー,115,34,1.1,0.9,50,128,17.4,41.7,33.8,.163,.291,38,44,19
290,山本 大貴,ヤ,左投,カットボール,11,3,0.0,-,-,139,9.1,100.0,20.0,-,-,-,-,-
291,山本 大貴,ヤ,左投,ナックルカーブ,1,0,0.0,-,-,125,0.0,-,0.0,-,-,-,-,-
292,山本 大貴,ヤ,左投,フォーク,9,3,0.4,-,-,133,33.3,50.0,50.0,.000,.160,0,33,67
293,山本 大貴,ヤ,左投,シンカー,9,3,0.4,-,-,133,55.6,71.4,85.7,.000,.437,0,100,0
294,山本 大貴,ヤ,左投,ツーシーム,92,27,0.4,-,-,145,6.5,11.8,30.6,.311,.357,50,50,0
295,エスパーダ,ヤ,右投,ストレート,249,54,-2.1,-0.8,29,147,9.6,19.8,27.2,.420,.339,30,57,13
296,エスパーダ,ヤ,右投,カットボール,4,1,-0.2,-,-,140,0.0,-,0.0,-,-,-,-,-
297,エスパーダ,ヤ,右投,ナックルカーブ,105,23,0.6,0.6,59,130,5.7,21.4,17.5,.218,.255,50,33,17
298,エスパーダ,ヤ,右投,スプリット,104,23,0.4,0.4,61,141,16.3,30.9,33.3,.306,.278,43,39,17
299,清水 昇,ヤ,右投,ストレート,90,50,-0.6,-,-,146,3.3,6.8,23.5,.377,.355,55,45,0
300,清水 昇,ヤ,右投,カットボール,20,11,-0.3,-,-,136,10.0,20.0,16.7,1.118,.402,25,75,0
301,清水 昇,ヤ,右投,カーブ,11,6,0.4,-,-,117,0.0,0.0,0.0,.348,.212,60,20,20
302,清水 昇,ヤ,右投,フォーク,58,32,-0.4,-,-,128,12.1,24.1,29.0,.384,.289,47,40,13
303,祖父江 大輔,中,右投,ストレート,42,35,-0.3,-,-,144,0.0,0.0,36.8,.635,.423,17,83,0
304,祖父江 大輔,中,右投,スライダー,46,38,0.4,-,-,133,4.3,9.1,35.3,.290,.277,78,22,0
305,祖父江 大輔,中,右投,フォーク,29,24,-0.1,-,-,134,13.8,26.7,36.8,.487,.334,29,57,14
306,祖父江 大輔,中,右投,シュート,4,3,0.0,-,-,142,0.0,-,50.0,-,-,-,-,-
307,石山 泰稚,ヤ,右投,ストレート,97,36,1.2,-,-,148,8.2,16.3,22.9,.335,.363,35,59,6
308,石山 泰稚,ヤ,右投,スライダー,85,31,-0.2,-,-,136,10.6,20.0,38.2,.299,.369,42,58,0
309,石山 泰稚,ヤ,右投,カーブ,13,5,0.0,-,-,130,7.7,10.0,50.0,.335,.265,75,25,0
310,石山 泰稚,ヤ,右投,フォーク,11,4,-0.4,-,-,138,0.0,0.0,12.5,.870,.344,50,50,0
311,石山 泰稚,ヤ,右投,ワンシーム,64,24,-1.8,-,-,146,1.6,4.2,14.3,.344,.357,50,50,0
312,橋本 侑樹,中,左投,ストレート,263,54,0.1,0.0,38,148,6.5,13.4,23.6,.396,.351,56,44,0
313,橋本 侑樹,中,左投,スライダー,186,38,-0.2,-0.1,41,131,11.8,30.1,26.5,.237,.305,50,41,9
314,橋本 侑樹,中,左投,フォーク,42,9,0.9,-,-,136,23.8,40.0,54.5,.145,.264,50,33,17
315,マルティネス,中,右投,ストレート,192,49,1.5,0.8,46,154,12.5,23.5,34.6,.167,.328,47,44,9
316,マルティネス,中,右投,スライダー,62,16,0.4,-,-,141,16.1,37.0,25.0,.149,.334,56,44,0
317,マルティネス,中,右投,チェンジアップ,25,6,-0.6,-,-,139,16.0,40.0,26.7,.435,.427,17,83,0
318,マルティネス,中,右投,スプリット,105,27,1.5,1.5,71,144,24.8,40.6,47.5,.162,.301,47,42,11
319,マルティネス,中,右投,ツーシーム,9,2,0.3,-,-,153,11.1,16.7,0.0,.870,.213,100,0,0
320,平良 拳太郎,デ,右投,ストレート,35,35,0.0,-,-,142,2.9,5.9,27.3,.261,.300,60,30,10
321,平良 拳太郎,デ,右投,スライダー,23,23,-0.1,-,-,124,4.3,20.0,16.7,.435,.349,50,50,0
322,平良 拳太郎,デ,右投,カットボール,21,21,0.5,-,-,137,4.8,8.3,25.0,.000,.195,50,17,33
323,平良 拳太郎,デ,右投,カーブ,1,1,0.0,-,-,119,0.0,-,-,-,-,-,-,-
324,平良 拳太郎,デ,右投,シンカー,21,21,0.7,-,-,136,33.3,46.7,64.3,.000,.338,40,60,0
325,黒原 拓未,広,左投,ストレート,170,47,-0.8,-0.5,36,147,10.6,21.7,30.4,.363,.370,35,61,4
326,黒原 拓未,広,左投,カットボール,62,17,0.6,-,-,140,12.9,22.9,40.0,.441,.347,50,50,0
327,黒原 拓未,広,左投,カーブ,28,8,0.6,-,-,120,3.6,25.0,8.3,.000,.199,100,0,0
328,黒原 拓未,広,左投,チェンジアップ,57,16,1.0,-,-,130,17.5,37.0,36.7,.134,.300,54,38,8
329,黒原 拓未,広,左投,スプリット,42,12,0.4,-,-,139,19.0,38.1,40.7,.249,.286,71,29,0
330,河野 佳,広,右投,ストレート,77,60,1.7,-,-,145,15.6,34.3,21.4,.134,.314,38,46,15
331,河野 佳,広,右投,スライダー,20,16,-0.4,-,-,130,5.0,10.0,45.5,.884,.374,40,60,0
332,河野 佳,広,右投,カットボール,4,3,-0.1,-,-,138,25.0,50.0,0.0,-,-,-,-,-
333,河野 佳,広,右投,カーブ,9,7,-0.3,-,-,120,0.0,0.0,0.0,.870,.466,0,100,0
334,河野 佳,広,右投,フォーク,16,12,0.2,-,-,131,0.0,0.0,20.0,.290,.209,100,0,0
335,河野 佳,広,右投,シュート,3,2,-0.2,-,-,144,0.0,0.0,0.0,1.340,.501,0,100,0
336,大道 温貴,広,右投,ストレート,13,45,-0.5,-,-,146,0.0,0.0,50.0,.635,.423,17,83,0
337,大道 温貴,広,右投,カットボール,8,28,-0.1,-,-,134,0.0,0.0,25.0,.000,.237,100,0,0
338,大道 温貴,広,右投,カーブ,5,17,0.0,-,-,123,0.0,0.0,0.0,-,-,-,-,-
339,大道 温貴,広,右投,スプリット,3,10,0.1,-,-,137,33.3,100.0,50.0,-,-,-,-,-
340,塹江 敦哉,広,左投,ストレート,238,70,1.2,0.5,43,150,7.1,15.9,30.0,.361,.311,73,25,3
341,塹江 敦哉,広,左投,スライダー,78,23,-0.1,-,-,133,15.4,37.5,25.0,.494,.381,38,63,0
342,塹江 敦哉,広,左投,カットボール,12,4,0.0,-,-,137,16.7,28.6,0.0,.000,.237,100,0,0
343,塹江 敦哉,広,左投,チェンジアップ,10,3,0.1,-,-,138,20.0,50.0,33.3,-,-,-,-,-
344,益田 武尚,広,右投,ストレート,85,53,-1.4,-,-,150,5.9,13.2,15.8,.508,.352,41,53,6
345,益田 武尚,広,右投,スライダー,41,26,0.4,-,-,132,9.8,33.3,10.5,.762,.279,40,40,20
346,益田 武尚,広,右投,カットボール,1,1,0.0,-,-,143,0.0,-,0.0,-,-,-,-,-
347,益田 武尚,広,右投,フォーク,21,13,-0.1,-,-,142,4.8,9.1,30.0,.218,.276,75,25,0
348,益田 武尚,広,右投,ツーシーム,11,7,-0.2,-,-,149,9.1,16.7,37.5,.000,.213,100,0,0
349,中﨑 翔太,広,右投,ストレート,90,49,0.8,-,-,147,3.3,6.8,20.6,.439,.317,50,40,10
350,中﨑 翔太,広,右投,スライダー,27,15,0.0,-,-,134,3.7,6.3,33.3,.616,.374,40,60,0
351,中﨑 翔太,広,右投,カーブ,2,1,0.2,-,-,112,0.0,-,0.0,-,-,-,-,-
352,中﨑 翔太,広,右投,フォーク,63,34,0.3,-,-,134,15.9,30.3,42.5,.226,.276,62,31,8
353,中﨑 翔太,広,右投,ツーシーム,3,2,0.0,-,-,145,33.3,33.3,100.0,.670,.357,50,50,0
354,徳山 壮磨,デ,右投,ストレート,233,69,-0.9,-0.4,34,150,7.3,14.7,21.2,.271,.327,44,46,10
355,徳山 壮磨,デ,右投,カットボール,5,1,-0.1,-,-,143,0.0,0.0,0.0,.737,.310,67,33,0
356,徳山 壮磨,デ,右投,カーブ,25,7,-0.2,-,-,121,0.0,0.0,0.0,.000,.199,100,0,0
357,徳山 壮磨,デ,右投,フォーク,76,22,-2.1,-,-,140,11.8,23.1,39.6,.298,.332,55,45,0
358,荘司 康誠,楽,右投,ストレート,184,40,-2.7,-1.5,38,148,5.4,13.2,17.9,.631,.371,22,69,9
359,荘司 康誠,楽,右投,スライダー,1,0,0.0,-,-,133,0.0,0.0,-,-,-,-,-,-
360,荘司 康誠,楽,右投,カットボール,91,20,1.4,-,-,136,18.7,39.5,40.9,.268,.339,54,46,0
361,荘司 康誠,楽,右投,カーブ,54,12,-0.4,-,-,121,5.6,17.6,12.5,.487,.359,40,60,0
362,荘司 康誠,楽,右投,スプリット,128,28,1.4,1.1,67,140,18.0,37.1,31.5,.361,.273,68,27,5
363,隅田 知一郎,西,左投,ストレート,439,41,-4.6,-1.0,40,146,4.3,9.7,21.9,.346,.369,39,58,3
364,隅田 知一郎,西,左投,スライダー,21,2,-0.1,-,-,127,4.8,10.0,0.0,.440,.257,86,14,0
365,隅田 知一郎,西,左投,カーブ,208,20,0.0,0.0,48,116,11.5,28.9,24.3,.269,.281,52,38,10
366,隅田 知一郎,西,左投,チェンジアップ,234,22,2.7,1.1,65,124,19.7,41.4,37.6,.335,.287,59,33,8
367,隅田 知一郎,西,左投,スプリット,156,15,2.0,1.3,69,133,16.7,38.2,36.6,.244,.242,70,20,10
368,松田 啄磨,楽,右投,ストレート,91,46,-0.5,-,-,142,6.6,14.0,25.6,.313,.326,36,50,14
369,松田 啄磨,楽,右投,カットボール,43,22,0.3,-,-,132,4.7,11.8,5.3,.342,.261,89,11,0
370,松田 啄磨,楽,右投,カーブ,41,21,-0.9,-,-,110,4.9,25.0,6.9,.435,.199,100,0,0
371,松田 啄磨,楽,右投,スプリット,12,6,0.6,-,-,130,33.3,50.0,50.0,.000,.000,0,0,100
372,松田 啄磨,楽,右投,ツーシーム,12,6,-0.3,-,-,140,8.3,25.0,20.0,.690,.405,33,67,0
373,佐藤 隼輔,西,左投,ストレート,176,68,-2.0,-1.2,26,148,6.3,16.9,19.1,.251,.334,57,39,4
374,佐藤 隼輔,西,左投,スライダー,20,8,-0.4,-,-,128,0.0,0.0,36.4,.000,.284,75,25,0
375,佐藤 隼輔,西,左投,カーブ,1,0,0.0,-,-,118,0.0,0.0,-,.000,.199,100,0,0
376,佐藤 隼輔,西,左投,チェンジアップ,35,14,0.6,-,-,129,25.7,56.2,39.3,.290,.304,67,33,0
377,佐藤 隼輔,西,左投,パーム,25,10,0.2,-,-,118,12.0,30.0,33.3,.218,.284,75,25,0
378,佐藤 隼輔,西,左投,ツーシーム,2,1,-0.1,-,-,146,0.0,-,0.0,-,-,-,-,-
379,藤平 尚真,楽,右投,ストレート,134,70,1.6,1.2,49,151,7.5,15.6,21.6,.290,.324,48,43,10
380,藤平 尚真,楽,右投,スライダー,3,2,-0.1,-,-,140,0.0,-,0.0,-,-,-,-,-
381,藤平 尚真,楽,右投,カーブ,11,6,0.1,-,-,123,18.2,40.0,20.0,.435,.332,50,50,0
382,藤平 尚真,楽,右投,フォーク,43,23,0.5,-,-,141,20.9,37.5,50.0,.316,.286,71,29,0
383,本田 圭佑,西,右投,ストレート,157,53,-1.5,-0.9,28,145,4.5,9.0,23.5,.314,.352,28,61,11
384,本田 圭佑,西,右投,スライダー,25,8,-0.1,-,-,132,16.0,30.8,20.0,.218,.284,75,25,0
385,本田 圭佑,西,右投,カーブ,35,12,0.0,-,-,119,5.7,16.7,10.5,.348,.305,60,40,0
386,本田 圭佑,西,右投,チェンジアップ,47,16,-0.4,-,-,125,12.8,26.1,24.0,.535,.314,45,45,9
387,本田 圭佑,西,右投,シンカー,34,11,0.0,-,-,132,14.7,23.8,38.9,.435,.313,50,50,0
388,西垣 雅矢,楽,右投,ストレート,152,58,-3.4,-2.3,15,148,3.3,8.5,18.3,.381,.393,33,67,0
389,西垣 雅矢,楽,右投,スライダー,29,11,0.1,-,-,128,10.3,42.9,14.3,.980,.306,67,33,0
390,西垣 雅矢,楽,右投,カーブ,1,0,0.0,-,-,124,0.0,-,0.0,-,-,-,-,-
391,西垣 雅矢,楽,右投,フォーク,78,30,1.6,-,-,137,16.7,36.1,29.5,.124,.203,64,14,21
392,鈴木 翔天,楽,左投,ストレート,217,64,2.1,1.0,48,149,13.8,25.6,25.6,.208,.312,32,50,18
393,鈴木 翔天,楽,左投,スライダー,73,22,-0.6,-,-,133,8.2,20.0,30.4,.000,.334,56,44,0
394,鈴木 翔天,楽,左投,カーブ,9,3,-0.5,-,-,125,0.0,0.0,0.0,.000,.199,100,0,0
395,鈴木 翔天,楽,左投,ツーシーム,38,11,0.4,-,-,138,26.3,47.6,35.0,.249,.295,71,29,0
396,豆田 泰志,西,右投,ストレート,189,75,-1.6,-0.8,29,147,7.4,16.9,26.5,.398,.352,34,57,9
397,豆田 泰志,西,右投,スライダー,9,4,0.0,-,-,128,22.2,100.0,12.5,-,-,-,-,-
398,豆田 泰志,西,右投,カーブ,39,15,-0.3,-,-,116,2.6,9.1,11.8,.710,.359,40,60,0
399,豆田 泰志,西,右投,フォーク,15,6,-0.1,-,-,132,13.3,25.0,40.0,.348,.317,60,40,0
400,種市 篤暉,ロ,右投,ストレート,610,54,4.8,0.8,65,149,7.2,16.4,21.5,.301,.313,40,45,15
401,種市 篤暉,ロ,右投,スライダー,195,17,-0.3,-0.2,55,135,13.3,29.9,31.8,.409,.334,50,47,3
402,種市 篤暉,ロ,右投,ナックルカーブ,18,2,0.1,-,-,128,22.2,57.1,30.8,.870,.199,100,0,0
403,種市 篤暉,ロ,右投,フォーク,316,28,1.7,0.5,61,141,18.7,33.0,44.9,.302,.292,61,34,5
404,加藤 貴之,日,左投,ストレート,280,27,-2.2,-0.8,44,138,5.4,11.6,22.0,.428,.374,30,64,5
405,加藤 貴之,日,左投,スライダー,138,13,0.8,0.6,62,119,5.1,14.6,11.6,.345,.315,35,50,15
406,加藤 貴之,日,左投,カットボール,275,26,4.4,1.6,78,128,9.8,18.2,31.0,.286,.318,34,52,14
407,加藤 貴之,日,左投,カーブ,1,0,0.0,-,-,107,0.0,0.0,100.0,-,-,-,-,-
408,加藤 貴之,日,左投,スローカーブ,51,5,0.4,-,-,98,3.9,11.1,24.0,.342,.258,78,22,0
409,加藤 貴之,日,左投,フォーク,201,19,-1.3,-0.6,49,132,13.4,24.1,41.1,.263,.331,51,47,2
410,加藤 貴之,日,左投,チェンジアップ,46,4,-0.9,-,-,113,6.5,15.8,38.7,.565,.336,36,55,9
411,加藤 貴之,日,左投,シュート,57,5,0.6,-,-,136,0.0,0.0,28.0,.092,.240,63,21,16
412,西村 天裕,ロ,右投,ストレート,79,43,0.0,-,-,145,7.6,15.8,18.2,.558,.297,17,56,28
413,西村 天裕,ロ,右投,カットボール,1,1,0.0,-,-,141,0.0,-,0.0,-,-,-,-,-
414,西村 天裕,ロ,右投,縦スライダー,33,18,0.0,-,-,125,9.1,27.3,22.2,.174,.323,60,40,0
415,西村 天裕,ロ,右投,スプリット,69,38,-0.1,-,-,136,20.3,53.8,33.9,.174,.317,60,40,0
416,山本 拓実,日,右投,ストレート,110,64,-1.1,-1.0,28,149,8.2,16.7,12.5,.312,.367,24,67,10
417,山本 拓実,日,右投,スライダー,8,5,0.1,-,-,131,12.5,25.0,20.0,-,-,-,-,-
418,山本 拓実,日,右投,カットボール,26,15,0.2,-,-,139,19.2,38.5,26.7,.348,.278,40,40,20
419,山本 拓実,日,右投,カーブ,3,2,-0.1,-,-,122,0.0,-,0.0,-,-,-,-,-
420,山本 拓実,日,右投,シンカー,23,13,0.3,-,-,143,21.7,27.8,71.4,.588,.271,67,33,0
421,山本 拓実,日,右投,シュート,2,1,0.0,-,-,147,0.0,0.0,0.0,-,-,-,-,-
422,澤村 拓一,ロ,右投,ストレート,158,57,-1.2,-0.8,30,153,7.0,15.7,22.9,.299,.319,44,44,12
423,澤村 拓一,ロ,右投,スライダー,17,6,-0.3,-,-,139,5.9,25.0,7.7,1.340,.478,0,100,0
424,澤村 拓一,ロ,右投,スプリット,104,37,0.0,0.0,57,148,24.0,49.0,41.9,.335,.375,38,62,0
425,北浦 竜次,日,左投,ストレート,92,57,-1.0,-,-,147,2.2,4.3,6.5,.436,.348,48,48,4
426,北浦 竜次,日,左投,スライダー,17,10,0.6,-,-,132,17.6,50.0,33.3,.870,.220,100,0,0
427,北浦 竜次,日,左投,カーブ,1,1,0.0,-,-,111,0.0,-,0.0,-,-,-,-,-
428,北浦 竜次,日,左投,フォーク,11,7,-0.3,-,-,134,27.3,37.5,57.1,.218,.412,25,75,0
429,北浦 竜次,日,左投,ツーシーム,41,25,-0.2,-,-,143,17.1,33.3,32.0,.607,.335,40,50,10
430,益田 直也,ロ,右投,ストレート,176,59,-2.7,-1.5,23,148,3.4,7.6,20.8,.362,.378,26,68,6
431,益田 直也,ロ,右投,スライダー,58,20,0.8,-,-,134,22.4,44.8,42.2,.532,.374,40,60,0
432,益田 直也,ロ,右投,シンカー,62,21,0.3,-,-,136,25.8,48.5,46.0,.261,.263,70,30,0
433,エスピノーザ,オ,右投,ストレート,33,3,0.6,-,-,151,9.1,20.0,20.0,.580,.333,67,33,0
434,エスピノーザ,オ,右投,スライダー,223,23,0.7,0.3,60,131,13.0,27.1,33.3,.278,.317,45,45,9
435,エスピノーザ,オ,右投,カットボール,58,6,0.4,-,-,143,13.8,27.6,28.0,.201,.314,27,55,18
436,エスピノーザ,オ,右投,ナックルカーブ,138,14,0.6,0.4,57,128,16.7,34.8,35.4,.286,.322,54,46,0
437,エスピノーザ,オ,右投,チェンジアップ,3,0,-0.1,-,-,142,0.0,-,0.0,-,-,-,-,-
438,エスピノーザ,オ,右投,ツーシーム,498,52,0.4,0.1,55,149,5.2,12.9,23.2,.294,.331,47,46,7
439,モイネロ,ソ,左投,ストレート,545,47,2.9,0.5,61,149,9.2,19.5,22.5,.379,.361,29,62,9
440,モイネロ,ソ,左投,スライダー,214,19,0.5,0.2,59,139,15.9,30.6,36.1,.163,.312,54,41,5
441,モイネロ,ソ,左投,カーブ,169,15,1.5,0.9,57,126,10.1,28.8,34.1,.191,.268,74,26,0
442,モイネロ,ソ,左投,チェンジアップ,227,20,1.1,0.5,58,134,21.1,41.4,42.3,.254,.300,60,36,4
443,小木田 敦也,オ,右投,ストレート,79,46,1.6,-,-,150,6.3,14.7,20.0,.356,.323,56,38,6
444,小木田 敦也,オ,右投,スライダー,47,28,0.2,-,-,129,10.6,21.7,37.5,.435,.349,50,50,0
445,小木田 敦也,オ,右投,カットボール,26,15,0.5,-,-,140,3.8,9.1,27.3,.153,.234,67,17,17
446,小木田 敦也,オ,右投,チェンジアップ,1,1,0.0,-,-,126,0.0,-,0.0,-,-,-,-,-
447,小木田 敦也,オ,右投,スプリット,17,10,-0.3,-,-,141,23.5,40.0,46.2,.000,.412,25,75,0
448,マチャド,オ,右投,ストレート,173,43,0.2,0.1,39,156,13.3,25.6,17.5,.309,.334,58,39,3
449,マチャド,オ,右投,スライダー,42,10,1.6,-,-,143,26.2,45.8,42.1,.448,.284,75,25,0
450,マチャド,オ,右投,チェンジアップ,132,33,0.3,0.2,55,146,21.2,36.4,44.4,.229,.308,65,35,0
451,マチャド,オ,右投,ツーシーム,55,14,1.1,-,-,155,18.2,33.3,32.0,.373,.295,71,29,0
452,平野 佳寿,オ,右投,ストレート,124,52,-1.4,-1.1,27,145,1.6,3.8,20.0,.520,.404,27,73,0
453,平野 佳寿,オ,右投,スライダー,8,3,-0.2,-,-,123,0.0,0.0,66.7,1.270,.392,33,67,0
454,平野 佳寿,オ,右投,フォーク,107,45,0.4,0.4,59,137,19.6,41.2,41.0,.409,.299,67,33,0
455,高橋 礼,巨,右投,ストレート,373,56,-3.8,-1.0,41,133,2.4,6.1,18.6,.277,.330,52,42,7
456,高橋 礼,巨,右投,スライダー,128,19,-2.2,-1.7,41,115,10.2,18.1,30.9,.231,.355,36,58,6
457,高橋 礼,巨,右投,カーブ,10,2,0.0,-,-,97,0.0,0.0,14.3,.000,.199,100,0,0
458,高橋 礼,巨,右投,シンカー,76,11,0.4,-,-,114,17.1,30.2,47.3,.326,.258,41,41,18
459,高橋 礼,巨,右投,ツーシーム,78,12,-0.5,-,-,132,1.3,3.4,18.8,.285,.316,57,39,4
460,才木 浩人,神,右投,ストレート,597,49,2.6,0.4,60,149,7.0,14.4,29.9,.304,.327,40,48,12
461,才木 浩人,神,右投,スライダー,284,23,-0.2,-0.1,56,133,8.1,23.7,17.5,.116,.337,30,57,13
